Политботы=Рабочая группа Телеграмма:

//===================
//НАИБОЛЕЕ ВЕРОЯТНЫЕ=
//===================

UClcvskG-Z4XE3xjjaHj5xTA=Mar 19, 2020•[АИИ]•Vezuncik Vezuncik
UCv6jhAK0VBv2owIrt4YmJAA=Mar 23, 2020•[?]•Насус рождённый в песках
UCGUyFk7KpLY2fVL9uj5nLtg=Dec 3, 2019•[?]•Кристина Шурунова
UCHmbt0Kd-6D4iwIPHxsqLzA=Mar 23, 2020•[?]•Кай'Са дочь бездны/Кай'Са Хирано
UCTFldJ6CMtjaEcorxmPW3vw=Feb 3, 2020•[ИМА]•Анастейшен Кросс
UC2WT05hplDj2oSiHBiqcEsA=Sep 17, 2017•[ИМА??~]•Sergey
UCJ8XtFd1mFzizDziSvVF7Ew=Mar 11, 2019•[ИМА?]•боб свердловский
UC4JDPCsH35hz3t7iEPHdn0g=Apr 21, 2019•[АИИ]•Матвей Мурин
UCykrVs-WGYJ_5k4DfgPqNFQ=Feb 28, 2020•[АИИ]•Родион Потапов
UCH3Nz5_H3A4qp1cYhlV7RTQ=Jun 24, 2019•[??]•Василий Васильев
UCuurA4rnNqMV2e-VH3DIO_A=Feb 28, 2020•[АИИ]•Виктор Циганов
UC1jucy5PaS_AnBTZy8r0YKw=Mar 30, 2020•[АИИ]•Николай Порохов
UC3WV95Rc47HleJkvIyfRrFg=Apr 28, 2019•[АИИ]•Григорий Кардашев
UC5vPgahJB6WHMtgsfgZnuBg=Feb 28, 2020•[АИИ]•Андрей Кривошапкин
UCLJGaM--IY2CfEZuydfy-8w=Mar 22, 2020•[АИИ??]•Тимофей Савицкий
UCBlzpL3JnLYd1lx0rXwD5UA=Jan 30, 2020•[АИИ]•Миша Осипов
UCZn0aQU7tGFHMmJlxtez4FA=Mar 4, 2020•[АИИ]•Вадим Сергеевич
UCUmZ-P7-bNEAa9RogVDyyYw=Feb 28, 2020•[АИИ]•Александр Ветров
UCgmSI6Hg12--F2L2JNqVskw=Feb 28, 2020•[АИИ]•Вера Моисеева
UCs-MvGfrncSFBg7Q1b9AopQ=Feb 28, 2020•[АИИ]•Григорий Сковорода
UCmgBLNJAdYFKBB9Zety38lw=Dec 31, 2019•[АИИ]•Никита Иглайкин
UCdNseXv5e9os2XR9yPf_fZA=Feb 28, 2020•[АИИ]•marat basharov
UCTtW6ilsVYj3q22sSzBc_cQ=Feb 28, 2020•[АИИ]•Жарко Инна
UCdI9uGPW3jYaDctkjdW5wiQ=Feb 28, 2020•[АИИ?]•Alexsei Jdanov
UCciMercI2L_zRyXWvWmfzBw=May 2, 2019•[АИИ?]•Потрясающий Вася
UCPG_x3sVTiOv7-yrq4cQaOw=Apr 28, 2019•[АИИ?]•Виктория Смирнова
UCYdUDLxsdqJQwxDd5lumq6A=Dec 12, 2017•[АИИ]•Макс Борменталь
UCKfff96wPuF7_M6z7Ciqw5g=Jul 18, 2019•[АИИ?]•Сеня Долин
UCvcr1xhpcWOZcaF4sAXevKw=Jan 29, 2020•[АИИ?]•Тёма Савин
UChA7xAAlGS4oGgbJLECtMJQ=Jan 26, 2020•[АИИ]•Инга Валевская
UCyow-M0nftogebVow65nUbw=Jan 26, 2020•[АИИ]•Алексей Уваров
UCEzmL9ldgWcVLpwGNxWhGJw=Feb 28, 2020•[АИИ]•Богдан Кошляк
UClnLcN5y9Fo6NyEF56WcjVA=May 2, 2019•[?]•Тони Монтана
UCQCEsvhGwMV69ePvuyyXUKg=Jan 30, 2020•[?]•Ан тон
UCCtQnGKyLSMA0jiQeQJFiWg=Feb 28, 2020•[?]•Pastorov Illa
UCTjOfTAQPudSBCeuXCWK8rA=Jan 29, 2020•[?]•Виктор Круглов
UCLc2yGDjcF8xn1_wJL9dNaQ=Mar 7, 2020•[?]•Павел Баранов
UCNkNqOSrjaglVkF_5pb8mVA=Jan 21, 2020•[АИИ?]•Анна Петрова
UCUmZ-P7-bNEAa9RogVDyyYw=Feb 28, 2020•[?]•Александр Ветров
UCs-MvGfrncSFBg7Q1b9AopQ=Feb 28, 2020•[?]•Григорий Сковорода
UC9x20b3ZfYdFogZObNpAzWQ=Jan 27, 2020•[АИИ]•Нина Пескова
UC-z4ZPNhULL65hzxCAnmJbQ=Jan 27, 2020•[АИИ]•Рыжий Лис
UCHnCdh4uMsuansXeSas3gUA=Jan 25, 2020•[АИИ]•Антон Верна
UCh7rtvYEafbk_kNVHBcVu-w=Jan 27, 2020•[?]•Валерий Курпатов/Валерия Курпатова/Валерия Иванова
UCmdCf6vDtGengTSVuTHXfGQ=Jul 19, 2017•[АИИ]•Даня Громов
UCAz0qllYZsNdVMCkx7rxqgg=Feb 28, 2020•[?]•Max Horoshiy
UC72Mh0kWGEUWU3KJBSkZsTw=Feb 28, 2020•[АИИ]•Игорь Шалько
UC3VYBa2iivmhftx4uKAZosA=Jan 27, 2020•[АИИ]•Таня Климова
UCyaeLzvSJsejHkBwLkgpfXA=May 19, 2019•[АИИ?]•Александр Клерик
UCVSdthx2biYZ1_E2vDaKtEA=Jan 26, 2020•[АИИ]•Марта Маяковская
UCQ1JE0_h_nkUowwo5V6fqMw=Jan 25, 2020•[АИИ]•Жанна Филиппова
UCNCrV6t5fSGVqkOtSG25gdQ=Feb 21, 2020•[АИИ]•Генадий Лукаренко
UCwQBRcGTmGHrNaq_h98v25Q=Jan 26, 2020•[АИИ]•Роман Гагарин
